Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,16777216,0.0542848,1151.34
Shared + Linear + Full Unroll + Syncwarp,16777216,0.0570593,1095.35
Shared + Linear + Full Unroll + Warpshufl,16777216,0.0572692,1091.34
Linear + Warp Unroll + Warpshufl + atomicAdd,16777216,0.0569661,1097.14
Linear + CgReduce + atomicAdd,16777216,0.0571148,1094.29
Linear + CgReduce + atomicAdd + vl,16777216,0.0525477,1189.4
