Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,16777216,0.0569878,1096.73
Shared + Linear + Full Unroll + Syncwarp,16777216,0.0573489,1089.82
Shared + Linear + Full Unroll + Warpshufl,16777216,0.0574156,1088.55
Linear + Warp Unroll + Warpshufl + atomicAdd,16777216,0.0570369,1095.78
Linear + CgReduce + atomicAdd,16777216,0.0570367,1095.78
Linear + CgReduce + atomicAdd + vl,16777216,0.0526579,1186.91
