Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,16777216,0.0569842,1096.8
Shared + Linear + Full Unroll + Syncwarp,16777216,0.0541736,1153.7
Shared + Linear + Full Unroll + Warpshufl,16777216,0.0572329,1092.03
Linear + Warp Unroll + Warpshufl + atomicAdd,16777216,0.0568303,1099.77
Linear + CgReduce + atomicAdd,16777216,0.0571224,1094.14
Linear + CgReduce + atomicAdd + vl,16777216,0.0525565,1189.2
