Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,16777216,0.0542658,1151.74
Shared + Linear + Full Unroll + Syncwarp,16777216,0.0571584,1093.45
Shared + Linear + Full Unroll + Warpshufl,16777216,0.0573154,1090.46
Linear + Warp Unroll + Warpshufl + atomicAdd,16777216,0.0569247,1097.94
Linear + CgReduce + atomicAdd,16777216,0.0573775,1089.28
Linear + CgReduce + atomicAdd + vl,16777216,0.052132,1198.88
