Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,16777216,0.0570635,1095.27
Shared + Linear + Full Unroll + Syncwarp,16777216,0.0573846,1089.14
Shared + Linear + Full Unroll + Warpshufl,16777216,0.0574004,1088.84
Linear + Warp Unroll + Warpshufl + atomicAdd,16777216,0.057156,1093.5
Linear + CgReduce + atomicAdd,16777216,0.0541673,1153.83
Linear + CgReduce + atomicAdd + vl,16777216,0.0522673,1195.78
