Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,33554432,0.0979001,1276.81
Shared + Linear + Full Unroll + Syncwarp,33554432,0.0983467,1271.01
Shared + Linear + Full Unroll + Warpshufl,33554432,0.0990858,1261.53
Linear + Warp Unroll + Warpshufl + atomicAdd,33554432,0.09837,1270.71
Linear + CgReduce + atomicAdd,33554432,0.0980189,1275.26
Linear + CgReduce + atomicAdd + vl,33554432,0.0964602,1295.87
