Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,33554432,0.0977968,1278.16
Shared + Linear + Full Unroll + Syncwarp,33554432,0.0980108,1275.37
Shared + Linear + Full Unroll + Warpshufl,33554432,0.0982089,1272.8
Linear + Warp Unroll + Warpshufl + atomicAdd,33554432,0.0985849,1267.94
Linear + CgReduce + atomicAdd,33554432,0.0980369,1275.03
Linear + CgReduce + atomicAdd + vl,33554432,0.0930298,1343.66
