Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,33554432,0.0980214,1275.23
Shared + Linear + Full Unroll + Syncwarp,33554432,0.0982077,1272.81
Shared + Linear + Full Unroll + Warpshufl,33554432,0.0984495,1269.69
Linear + Warp Unroll + Warpshufl + atomicAdd,33554432,0.0983609,1270.83
Linear + CgReduce + atomicAdd,33554432,0.0977606,1278.63
Linear + CgReduce + atomicAdd + vl,33554432,0.0930894,1342.8
