Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,134217728,0.302842,1651.02
Shared + Linear + Full Unroll + Syncwarp,134217728,0.302457,1653.13
Shared + Linear + Full Unroll + Warpshufl,134217728,0.303353,1648.24
Linear + Warp Unroll + Warpshufl + atomicAdd,134217728,0.302676,1651.93
Linear + CgReduce + atomicAdd,134217728,0.303587,1646.98
Linear + CgReduce + atomicAdd + vl,134217728,0.300575,1663.48
