Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,134217728,0.302672,1651.95
Shared + Linear + Full Unroll + Syncwarp,134217728,0.299518,1669.35
Shared + Linear + Full Unroll + Warpshufl,134217728,0.302891,1650.76
Linear + Warp Unroll + Warpshufl + atomicAdd,134217728,0.302757,1651.49
Linear + CgReduce + atomicAdd,134217728,0.30294,1650.49
Linear + CgReduce + atomicAdd + vl,134217728,0.300422,1664.33
