Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,4194304,0.0210474,742.372
Shared + Linear + Full Unroll + Syncwarp,4194304,0.0215796,724.064
Shared + Linear + Full Unroll + Warpshufl,4194304,0.0215025,726.661
Linear + Warp Unroll + Warpshufl + atomicAdd,4194304,0.0233112,670.279
Linear + CgReduce + atomicAdd,4194304,0.0238805,654.299
Linear + CgReduce + atomicAdd + vl,4194304,0.0226687,689.275
