Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Vanilla,4194304.0,0.07365079363636363,212.21030000000002
Thread Linear,4194304.0,0.04066029454545455,384.7102909090909
Shared Memory,4194304.0,0.06853245090909091,228.0659909090909
Shared + Linear,4194304.0,0.019938890909090907,784.2009636363637
Shared + Linear + Warp Unroll,4194304.0,0.01954589090909091,800.0911272727272
Shared + Linear + Full Unroll,4194304.0,0.01894947818181818,828.9441181818182




