Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,4194304,0.0206509,756.625
Shared + Linear + Full Unroll + Syncwarp,4194304,0.0208265,750.248
Shared + Linear + Full Unroll + Warpshufl,4194304,0.0180689,864.745
Linear + Warp Unroll + Warpshufl + atomicAdd,4194304,0.022965,680.384
Linear + CgReduce + atomicAdd,4194304,0.0229389,681.158
Linear + CgReduce + atomicAdd + vl,4194304,0.0222178,703.266
