Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Linear + CgReduce + atomicAdd,4194304.0,0.02296911,681.6618000000001
Linear + CgReduce + atomicAdd + vl,4194304.0,0.022098899999999998,708.4253
Linear + Warp Unroll + Warpshufl + atomicAdd,4194304.0,0.02311719,675.9390000000001
Shared + Linear + Full Unroll,4194304.0,0.02041055,767.1098
Shared + Linear + Full Unroll + Syncwarp,4194304.0,0.02071875,755.9072
Shared + Linear + Full Unroll + Warpshufl,4194304.0,0.02085242,751.0890999999999
