Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,4194304,0.0202535,771.473
Shared + Linear + Full Unroll + Syncwarp,4194304,0.0179765,869.191
Shared + Linear + Full Unroll + Warpshufl,4194304,0.0214899,727.087
Linear + Warp Unroll + Warpshufl + atomicAdd,4194304,0.0229828,679.856
Linear + CgReduce + atomicAdd,4194304,0.0232756,671.305
Linear + CgReduce + atomicAdd + vl,4194304,0.0222505,702.231
