Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Vanilla,4194304,0.0741833,210.627
Thread Linear,4194304,0.0415917,375.676
Shared Memory,4194304,0.0688123,227.067
Shared + Linear,4194304,0.0197385,791.598
Shared + Linear + Warp Unroll,4194304,0.0196049,796.994
Shared + Linear + Full Unroll,4194304,0.0173754,899.259
