Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,67108864,0.165928,1506.68
Shared + Linear + Full Unroll + Syncwarp,67108864,0.165959,1506.4
Shared + Linear + Full Unroll + Warpshufl,67108864,0.165768,1508.14
Linear + Warp Unroll + Warpshufl + atomicAdd,67108864,0.166253,1503.73
Linear + CgReduce + atomicAdd,67108864,0.165651,1509.2
Linear + CgReduce + atomicAdd + vl,67108864,0.163468,1529.35
