Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Linear + CgReduce + atomicAdd,67108864.0,0.16670829999999998,1499.662
Linear + CgReduce + atomicAdd + vl,67108864.0,0.1645152,1519.643
Linear + Warp Unroll + Warpshufl + atomicAdd,67108864.0,0.1665393,1501.21
Shared + Linear + Full Unroll,67108864.0,0.16654739999999998,1501.1309999999999
Shared + Linear + Full Unroll + Syncwarp,67108864.0,0.16640359999999998,1502.433
Shared + Linear + Full Unroll + Warpshufl,67108864.0,0.1665127,1501.5120000000002
