Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,1048576,0.0209051,186.856
Shared + Linear + Full Unroll + Syncwarp,1048576,0.0212778,183.584
Shared + Linear + Full Unroll + Warpshufl,1048576,0.0218584,178.707
Linear + Warp Unroll + Warpshufl + atomicAdd,1048576,0.0222666,175.431
Linear + CgReduce + atomicAdd,1048576,0.0195859,199.442
Linear + CgReduce + atomicAdd + vl,1048576,0.0209084,186.827
