Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,1048576,0.0211569,184.633
Shared + Linear + Full Unroll + Syncwarp,1048576,0.0212745,183.611
Shared + Linear + Full Unroll + Warpshufl,1048576,0.0218784,178.544
Linear + Warp Unroll + Warpshufl + atomicAdd,1048576,0.0224689,173.851
Linear + CgReduce + atomicAdd,1048576,0.0225769,173.02
Linear + CgReduce + atomicAdd + vl,1048576,0.0207698,188.074
