Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,1048576,0.0184247,212.011
Shared + Linear + Full Unroll + Syncwarp,1048576,0.0214972,181.71
Shared + Linear + Full Unroll + Warpshufl,1048576,0.0218476,178.796
Linear + Warp Unroll + Warpshufl + atomicAdd,1048576,0.0224194,174.236
Linear + CgReduce + atomicAdd,1048576,0.0224401,174.075
Linear + CgReduce + atomicAdd + vl,1048576,0.0206439,189.221
