Reduction Type,Array Size,Average Runtime (ms),Achieved Bandwidth (GB/s)
Shared + Linear + Full Unroll,1048576,0.0210422,185.639
Shared + Linear + Full Unroll + Syncwarp,1048576,0.0212472,183.847
Shared + Linear + Full Unroll + Warpshufl,1048576,0.0215313,181.422
Linear + Warp Unroll + Warpshufl + atomicAdd,1048576,0.0222245,175.764
Linear + CgReduce + atomicAdd,1048576,0.0224656,173.877
Linear + CgReduce + atomicAdd + vl,1048576,0.0205648,189.948
